Node,Depth,Value,Alpha,Beta
B2,9,Infinity,-Infinity,-4
A2,10,-4,-Infinity,-4
B2,9,-4,-Infinity,-4
A3,10,Infinity,-Infinity,-4
A2,10,18,-Infinity,-4
A3,10,18,-Infinity,-4
B2,9,-4,-Infinity,-4
A4,8,-4,-Infinity,-4
B2,7,-4,-Infinity,-4
A5,6,-4,-Infinity,-4
A2,6,-4,-Infinity,-4
B2,5,-4,-Infinity,-4
A4,6,-Infinity,-Infinity,-4
B2,7,Infinity,-Infinity,-4
A2,8,-Infinity,-Infinity,-4
B2,9,Infinity,-Infinity,-4
A3,10,-3,-Infinity,-4
B2,9,-3,-Infinity,-4
A5,10,-3,-Infinity,-4
B2,9,-3,-Infinity,-4
A2,8,-3,-Infinity,-4
B2,7,-3,-Infinity,-4
A3,8,-Infinity,-Infinity,-4
B3,9,Infinity,-Infinity,-4
A2,10,-1,-Infinity,-4
B3,9,-1,-Infinity,-4
A3,10,0,-Infinity,-4
B3,9,-1,-Infinity,-4
A4,10,0,-Infinity,-4
B3,9,-1,-Infinity,-4
A5,10,-1,-Infinity,-4
B3,9,-1,-Infinity,-4
A3,8,-1,-Infinity,-4
B2,7,-3,-Infinity,-4
A5,8,-Infinity,-Infinity,-4
B2,9,Infinity,-Infinity,-4
A2,10,-3,-Infinity,-4
B2,9,-3,-Infinity,-4
A3,10,Infinity,-Infinity,-4
A2,10,-4,-Infinity,-4
A3,10,-4,-Infinity,-4
A4,10,-11,-Infinity,-4
A3,10,-11,-Infinity,-11
B2,9,-11,-Infinity,-11
A4,10,-2,-Infinity,-11
B2,9,-11,-Infinity,-11
A5,8,-11,-11,-4
B3,9,Infinity,-11,-4
A2,10,-2,-11,-4
B3,9,-2,-11,-4
A3,10,-2,-11,-4
B3,9,-2,-11,-4
A4,10,-1,-11,-4
B3,9,-2,-11,-4
A5,10,-1,-11,-4
B3,9,-2,-11,-4
A5,8,-2,-11,-4
B2,7,-3,-Infinity,-4
A4,6,-3,-Infinity,-4
B2,5,-4,-Infinity,-4
A5,6,-Infinity,-Infinity,-4
B2,7,Infinity,-Infinity,-4
A2,8,-Infinity,-Infinity,-4
B2,9,Infinity,-Infinity,-4
A3,10,-3,-Infinity,-4
B2,9,-3,-Infinity,-4
A4,10,-3,-Infinity,-4
B2,9,-3,-Infinity,-4
A2,8,-3,-Infinity,-4
B2,7,-3,-Infinity,-4
A3,8,-Infinity,-Infinity,-4
B3,9,Infinity,-Infinity,-4
A2,10,-1,-Infinity,-4
B3,9,-1,-Infinity,-4
A4,10,-1,-Infinity,-4
B3,9,-1,-Infinity,-4
A5,10,0,-Infinity,-4
B3,9,-1,-Infinity,-4
A3,8,-1,-Infinity,-4
B2,7,-3,-Infinity,-4
A4,8,-Infinity,-Infinity,-4
B2,9,Infinity,-Infinity,-4
A2,10,-3,-Infinity,-4
B2,9,-3,-Infinity,-4
A3,10,Infinity,-Infinity,-4
A2,10,20,-Infinity,-4
A3,10,20,-Infinity,-4
B2,9,-3,-Infinity,-4
A4,8,-3,-Infinity,-4
B2,7,-3,-Infinity,-4
A5,6,-3,-Infinity,-4
B2,5,-4,-Infinity,-4
A3,4,-4,-4,Infinity
B3,5,-Infinity,-4,Infinity
B2,5,Infinity,-4,Infinity
A2,6,Infinity,-4,Infinity
A4,6,-Infinity,-4,Infinity
B2,7,Infinity,-4,Infinity
A2,8,Infinity,-4,Infinity
A3,8,-Infinity,-4,Infinity
B3,9,Infinity,-4,Infinity
A5,10,-3,-4,Infinity
B3,9,-3,-4,-3
A3,8,-3,-3,Infinity
B4,9,Infinity,-3,Infinity
A2,10,Infinity,-3,Infinity
A3,10,-4,-3,Infinity
A2,10,-4,-3,Infinity
B4,9,-4,-3,Infinity
A3,8,-3,-3,Infinity
B5,9,Infinity,-3,Infinity
A2,10,Infinity,-3,Infinity
A3,10,-4,-3,Infinity
A2,10,-4,-3,Infinity
B5,9,-4,-3,Infinity
A3,8,-3,-3,Infinity
A2,8,-3,-4,-3
A5,8,-Infinity,-4,-3
B2,9,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A4,10,6,-4,-3
A2,10,6,-4,-3
A3,10,6,-4,-3
A4,10,-8,-4,-3
A3,10,-8,-4,-3
A2,10,-8,-4,-3
B2,9,-8,-4,-3
A5,8,-8,-4,-3
B3,9,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A4,10,12,-4,-3
A2,10,12,-4,-3
A3,10,12,-4,-3
A4,10,-5,-4,-3
A3,10,-5,-4,-3
A2,10,-5,-4,-3
B3,9,-5,-4,-3
A5,8,-5,-4,-3
B4,9,Infinity,-4,-3
A2,10,-2,-4,-3
B4,9,-2,-4,-3
A3,10,-2,-4,-3
B4,9,-2,-4,-3
A4,10,-1,-4,-3
B4,9,-2,-4,-3
A5,10,-1,-4,-3
B4,9,-2,-4,-3
A5,8,-2,-4,-3
A2,8,-3,-4,-3
B2,7,-3,-4,-3
A3,8,-Infinity,-4,-3
B3,9,Infinity,-4,-3
A2,10,-1,-4,-3
B3,9,-1,-4,-3
A5,10,-1,-4,-3
B3,9,-1,-4,-3
A3,8,-1,-4,-3
B2,7,-3,-4,-3
A5,8,-Infinity,-4,-3
B2,9,Infinity,-4,-3
A2,10,-2,-4,-3
B2,9,-2,-4,-3
A3,10,Infinity,-4,-3
A2,10,-3,-4,-3
A3,10,-3,-4,-3
A4,10,-6,-4,-3
A3,10,-6,-4,-3
B2,9,-6,-4,-3
A5,8,-6,-4,-3
B3,9,Infinity,-4,-3
A2,10,-2,-4,-3
B3,9,-2,-4,-3
A3,10,Infinity,-4,-3
A2,10,-3,-4,-3
A3,10,-3,-4,-3
A4,10,-3,-4,-3
A3,10,-3,-4,-3
B3,9,-3,-4,-3
A4,10,-1,-4,-3
B3,9,-3,-4,-3
A5,8,-3,-4,-3
B2,7,-3,-4,-3
A4,6,-3,-3,Infinity
B3,7,Infinity,-3,Infinity
A2,8,Infinity,-3,Infinity
A3,8,-Infinity,-3,Infinity
B4,9,Infinity,-3,Infinity
A2,10,Infinity,-3,Infinity
A3,10,-3,-3,Infinity
A2,10,-3,-3,Infinity
B4,9,-3,-3,Infinity
A3,8,-3,-3,Infinity
B5,9,Infinity,-3,Infinity
A2,10,Infinity,-3,Infinity
A4,10,-2,-3,Infinity
A2,10,-2,-3,-2
A5,10,-2,-3,-2
A2,10,-2,-3,-2
B5,9,-2,-3,-2
A4,10,-1,-3,-2
B5,9,-2,-3,-2
A5,10,-1,-3,-2
B5,9,-2,-3,-2
A3,8,-2,-2,Infinity
A2,8,-2,-3,-2
A5,8,-Infinity,-3,-2
B2,9,Infinity,-3,-2
A2,10,Infinity,-3,-2
A3,10,Infinity,-3,-2
A2,10,Infinity,-3,-2
A4,10,10,-3,-2
A2,10,10,-3,-2
A3,10,10,-3,-2
A4,10,-6,-3,-2
A3,10,-6,-3,-2
A2,10,-6,-3,-2
B2,9,-6,-3,-2
A5,8,-6,-3,-2
B4,9,Infinity,-3,-2
A2,10,1,-3,-2
B4,9,1,-3,-2
A3,10,1,-3,-2
B4,9,1,-3,-2
A5,10,1,-3,-2
B4,9,1,-3,-2
A5,8,1,-3,-2
A2,8,-2,-3,-2
B3,7,-2,-3,-2
A3,8,-Infinity,-3,-2
B2,9,Infinity,-3,-2
A2,10,0,-3,-2
B2,9,0,-3,-2
A5,10,0,-3,-2
B2,9,0,-3,-2
A3,8,0,-3,-2
B3,7,-2,-3,-2
A5,8,-Infinity,-3,-2
B2,9,Infinity,-3,-2
A2,10,-2,-3,-2
B2,9,-2,-3,-2
A3,10,Infinity,-3,-2
A2,10,-3,-3,-2
A3,10,-3,-3,-2
B2,9,-3,-3,-2
A5,8,-3,-3,-2
B4,9,Infinity,-3,-2
A2,10,2,-3,-2
B4,9,2,-3,-2
A3,10,2,-3,-2
B4,9,2,-3,-2
A5,10,2,-3,-2
B4,9,2,-3,-2
A5,8,2,-3,-2
B3,7,-2,-3,-2
A4,6,-2,-2,Infinity
B4,7,Infinity,-2,Infinity
A2,8,-Infinity,-2,Infinity
B2,9,Infinity,-2,Infinity
A3,10,Infinity,-2,Infinity
A2,10,Infinity,-2,Infinity
A4,10,-6,-2,Infinity
A2,10,-6,-2,Infinity
A3,10,-6,-2,Infinity
B2,9,-6,-2,Infinity
A2,8,-6,-2,Infinity
B3,9,Infinity,-2,Infinity
A3,10,Infinity,-2,Infinity
A2,10,Infinity,-2,Infinity
A4,10,-3,-2,Infinity
A2,10,-3,-2,Infinity
A3,10,-3,-2,Infinity
B3,9,-3,-2,Infinity
A2,8,-3,-2,Infinity
B5,9,Infinity,-2,Infinity
A2,10,Infinity,-2,Infinity
A3,10,2,-2,Infinity
A2,10,2,-2,2
A5,10,2,-2,2
A2,10,2,-2,2
B5,9,2,-2,2
A3,10,3,-2,2
B5,9,2,-2,2
A5,10,3,-2,2
B5,9,2,-2,2
A2,8,2,2,Infinity
B4,7,2,-2,2
A3,8,Infinity,-2,2
A2,8,-Infinity,-2,2
B2,9,Infinity,-2,2
A4,10,-6,-2,2
B2,9,-6,-2,2
A2,8,-6,-2,2
B3,9,-Infinity,-2,2
B2,9,Infinity,-2,2
A4,10,-2,-2,2
B2,9,-2,-2,2
B3,9,-2,-2,2
B4,9,Infinity,-2,2
A4,10,-1,-2,2
B4,9,-1,-2,-1
A5,10,-1,-2,-1
B4,9,-1,-2,-1
B3,9,-1,-1,2
B5,9,Infinity,-1,2
A2,10,Infinity,-1,2
A3,10,3,-1,2
A2,10,3,-1,2
A4,10,3,-1,2
A2,10,3,-1,2
B5,9,3,-1,2
A3,10,9,-1,2
B5,9,3,-1,2
A4,10,9,-1,2
B5,9,3,-1,2
B3,9,3,-1,2
A2,8,3,-2,2
A3,8,3,-2,2
A4,8,-Infinity,-2,2
B2,9,Infinity,-2,2
A2,10,-3,-2,2
B2,9,-3,-2,2
A4,8,-3,-2,2
B5,9,Infinity,-2,2
A2,10,-1,-2,2
B5,9,-1,-2,-1
A3,10,0,-2,-1
B5,9,-1,-2,-1
A5,10,-1,-2,-1
B5,9,-1,-2,-1
A4,8,-1,-1,2
A3,8,-1,-2,-1
A5,8,-Infinity,-2,-1
B2,9,Infinity,-2,-1
A2,10,-2,-2,-1
B2,9,-2,-2,-1
A5,8,-2,-2,-1
B3,9,-Infinity,-2,-1
B2,9,Infinity,-2,-1
A2,10,-1,-2,-1
B2,9,-1,-2,-1
A3,10,0,-2,-1
B2,9,-1,-2,-1
A4,10,0,-2,-1
B2,9,-1,-2,-1
B3,9,-1,-2,-1
A5,8,-1,-2,-1
A3,8,-1,-2,-1
B4,7,-1,-2,-1
A4,8,-Infinity,-2,-1
B2,9,Infinity,-2,-1
A2,10,1,-2,-1
B2,9,1,-2,-1
A3,10,1,-2,-1
B2,9,1,-2,-1
A5,10,1,-2,-1
B2,9,1,-2,-1
A4,8,1,-2,-1
B4,7,-1,-2,-1
A5,8,-Infinity,-2,-1
B2,9,Infinity,-2,-1
A2,10,-1,-2,-1
B2,9,-1,-2,-1
A3,10,-1,-2,-1
B2,9,-1,-2,-1
A4,10,0,-2,-1
B2,9,-1,-2,-1
A5,8,-1,-2,-1
B4,7,-1,-2,-1
A4,6,-1,-1,Infinity
B5,7,Infinity,-1,Infinity
A2,8,-Infinity,-1,Infinity
B2,9,Infinity,-1,Infinity
A3,10,Infinity,-1,Infinity
A2,10,Infinity,-1,Infinity
A4,10,10,-1,Infinity
A2,10,10,-1,10
A3,10,10,-1,10
A4,10,2,-1,10
A3,10,2,-1,2
B2,9,2,-1,2
A4,10,7,-1,2
B2,9,2,-1,2
A2,8,2,2,Infinity
B3,9,Infinity,2,Infinity
A3,10,Infinity,2,Infinity
A2,10,Infinity,2,Infinity
A4,10,16,2,Infinity
A2,10,16,2,16
A3,10,16,2,16
A4,10,5,2,16
A3,10,5,2,5
B3,9,5,2,5
A4,10,7,2,5
B3,9,5,2,5
A2,8,5,5,Infinity
B4,9,Infinity,5,Infinity
A2,10,Infinity,5,Infinity
A3,10,-1,5,Infinity
A2,10,-1,5,Infinity
B4,9,-1,5,Infinity
A2,8,5,5,Infinity
B5,7,5,-1,5
A3,8,Infinity,-1,5
A2,8,-Infinity,-1,5
B2,9,Infinity,-1,5
A4,10,10,-1,5
B2,9,10,-1,5
A2,8,10,-1,5
A3,8,10,-1,5
A4,8,-Infinity,-1,5
B2,9,Infinity,-1,5
A2,10,-4,-1,5
B2,9,-4,-1,5
A4,8,-4,-1,5
B4,9,Infinity,-1,5
A2,10,-1,-1,5
B4,9,-1,-1,5
A4,8,-1,-1,5
A3,8,-1,-1,5
B5,7,-1,-1,5
A4,6,-1,-1,Infinity
A2,6,-1,-4,-1
A5,6,-Infinity,-4,-1
B2,7,Infinity,-4,-1
A2,8,Infinity,-4,-1
A4,8,-Infinity,-4,-1
B2,9,Infinity,-4,-1
A2,10,Infinity,-4,-1
A3,10,16,-4,-1
A2,10,16,-4,-1
B2,9,16,-4,-1
A3,10,0,-4,-1
B2,9,0,-4,-1
A4,8,0,-4,-1
A2,8,0,-4,-1
B2,7,0,-4,-1
A4,8,-Infinity,-4,-1
B2,9,Infinity,-4,-1
A2,10,0,-4,-1
B2,9,0,-4,-1
A3,10,1,-4,-1
B2,9,0,-4,-1
A4,8,0,-4,-1
B2,7,0,-4,-1
A5,6,0,-4,-1
A2,6,-1,-4,-1
B2,5,-1,-4,-1
A4,6,-Infinity,-4,-1
B2,7,Infinity,-4,-1
A2,8,-Infinity,-4,-1
B2,9,Infinity,-4,-1
A3,10,-1,-4,-1
B2,9,-1,-4,-1
A5,10,-1,-4,-1
B2,9,-1,-4,-1
A2,8,-1,-4,-1
B2,7,-1,-4,-1
A3,8,-Infinity,-4,-1
B3,9,Infinity,-4,-1
A2,10,0,-4,-1
B3,9,0,-4,-1
A5,10,0,-4,-1
B3,9,0,-4,-1
A3,8,0,-4,-1
B2,7,-1,-4,-1
A5,8,-Infinity,-4,-1
B2,9,Infinity,-4,-1
A2,10,-1,-4,-1
B2,9,-1,-4,-1
A3,10,Infinity,-4,-1
A2,10,-2,-4,-1
A3,10,-2,-4,-2
A4,10,-5,-4,-2
A3,10,-5,-4,-2
B2,9,-5,-4,-1
A5,8,-5,-4,-1
B3,9,Infinity,-4,-1
A2,10,-1,-4,-1
B3,9,-1,-4,-1
A3,10,Infinity,-4,-1
A2,10,-2,-4,-1
A3,10,-2,-4,-2
A4,10,-2,-4,-2
A3,10,-2,-4,-2
B3,9,-2,-4,-2
A4,10,0,-4,-2
B3,9,-2,-4,-2
A5,8,-2,-2,-1
B4,9,Infinity,-2,-1
A2,10,0,-2,-1
B4,9,0,-2,-1
A3,10,0,-2,-1
B4,9,0,-2,-1
A4,10,1,-2,-1
B4,9,0,-2,-1
A5,10,1,-2,-1
B4,9,0,-2,-1
A5,8,0,-2,-1
B2,7,-1,-4,-1
A4,6,-1,-4,-1
B2,5,-1,-4,-1
A5,6,-Infinity,-4,-1
B2,7,Infinity,-4,-1
A2,8,-Infinity,-4,-1
B2,9,Infinity,-4,-1
A4,10,2,-4,-1
B2,9,2,-4,-1
A2,8,2,-4,-1
B2,7,2,-4,-1
A4,8,-Infinity,-4,-1
B2,9,Infinity,-4,-1
A2,10,1,-4,-1
B2,9,1,-4,-1
A3,10,2,-4,-1
B2,9,1,-4,-1
A4,8,1,-4,-1
B2,7,1,-4,-1
A5,6,1,-4,-1
B2,5,-1,-4,-1
B3,5,-1,-1,Infinity
B4,5,Infinity,-1,Infinity
A2,6,-Infinity,-1,Infinity
B2,7,Infinity,-1,Infinity
A4,8,-Infinity,-1,Infinity
B2,9,Infinity,-1,Infinity
A2,10,Infinity,-1,Infinity
A3,10,0,-1,Infinity
A2,10,0,-1,0
A5,10,0,-1,0
A2,10,0,-1,0
B2,9,0,-1,0
A3,10,2,-1,0
B2,9,0,-1,0
A5,10,1,-1,0
B2,9,0,-1,0
A4,8,0,0,Infinity
B3,9,Infinity,0,Infinity
A2,10,Infinity,0,Infinity
A3,10,-1,0,Infinity
A2,10,-1,0,Infinity
B3,9,-1,0,Infinity
A4,8,0,0,Infinity
B4,9,-Infinity,0,Infinity
B2,9,Infinity,0,Infinity
A2,10,Infinity,0,Infinity
A3,10,1,0,Infinity
A2,10,1,0,1
A5,10,1,0,1
A2,10,1,0,1
B2,9,1,0,1
A3,10,3,0,1
B2,9,1,0,1
A5,10,2,0,1
B2,9,1,0,1
B4,9,1,1,Infinity
B3,9,Infinity,1,Infinity
A2,10,Infinity,1,Infinity
A3,10,0,1,Infinity
A2,10,0,1,Infinity
B3,9,0,1,Infinity
B4,9,1,1,Infinity
B5,9,-Infinity,1,Infinity
B2,9,Infinity,1,Infinity
A2,10,4,1,Infinity
B2,9,4,1,4
A3,10,Infinity,1,4
A2,10,3,1,4
A3,10,3,1,3
A4,10,-1,1,3
A3,10,-1,1,3
B2,9,-1,1,4
B5,9,-1,1,Infinity
B3,9,-Infinity,1,Infinity
B2,9,Infinity,1,Infinity
A2,10,5,1,Infinity
B2,9,5,1,5
A3,10,Infinity,1,5
A2,10,4,1,5
A3,10,4,1,4
A4,10,3,1,4
A3,10,3,1,3
A5,10,4,1,3
A3,10,3,1,3
B2,9,3,1,3
A4,10,6,1,3
B2,9,3,1,3
A5,10,5,1,3
B2,9,3,1,3
B3,9,3,3,Infinity
B4,9,-Infinity,3,Infinity
B2,9,Infinity,3,Infinity
A2,10,8,3,Infinity
B2,9,8,3,8
A3,10,Infinity,3,8
A2,10,7,3,8
A3,10,7,3,7
A5,10,7,3,7
A3,10,7,3,7
B2,9,7,3,7
A5,10,8,3,7
B2,9,7,3,7
B4,9,7,7,Infinity
B5,9,Infinity,7,Infinity
A2,10,7,7,Infinity
B5,9,7,7,Infinity
B4,9,7,7,Infinity
B3,9,7,7,Infinity
B5,9,Infinity,7,Infinity
A2,10,6,7,Infinity
B5,9,6,7,Infinity
B3,9,7,7,Infinity
B5,9,7,7,Infinity
B4,9,Infinity,7,Infinity
A2,10,4,7,Infinity
B4,9,4,7,Infinity
B5,9,7,7,Infinity
B5,9,-Infinity,7,Infinity
B2,9,Infinity,7,Infinity
A2,10,5,7,Infinity
B2,9,5,7,Infinity
B5,9,5,7,Infinity
B3,9,-Infinity,7,Infinity
B2,9,Infinity,7,Infinity
A2,10,6,7,Infinity
B2,9,6,7,Infinity
B3,9,6,7,Infinity
B4,9,-Infinity,7,Infinity
B2,9,Infinity,7,Infinity
A2,10,9,7,Infinity
B2,9,9,7,9
A3,10,Infinity,7,9
A2,10,8,7,9
A3,10,8,7,8
A5,10,8,7,8
A3,10,8,7,8
B2,9,8,7,8
A5,10,9,7,8
B2,9,8,7,8
B4,9,8,8,Infinity
B5,9,Infinity,8,Infinity
A2,10,8,8,Infinity
B5,9,8,8,Infinity
B4,9,8,8,Infinity
B3,9,8,8,Infinity
B5,9,-Infinity,8,Infinity
B2,9,Infinity,8,Infinity
A2,10,7,8,Infinity
B2,9,7,8,Infinity
B5,9,7,8,Infinity
B4,9,-Infinity,8,Infinity
B2,9,Infinity,8,Infinity
A2,10,10,8,Infinity
B2,9,10,8,10
A3,10,Infinity,8,10
A2,10,9,8,10
